time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
2021-05-27,194.42,198.92,165.5,177.41,NaN,NaN,NaN,NaN,165.5,198.92,165.5,198.92,289.2826462,248.5568186,204.440339,38.54170675
2021-05-28,177.48,188.72,157.7,164.12,NaN,NaN,NaN,NaN,165.5,198.92,165.5,198.92,281.5197503,237.8265913,201.9392712,36.73371508
2021-05-29,164.15,181.2,155.28,170.72,NaN,NaN,NaN,NaN,165.5,198.92,165.5,198.92,273.1990003,230.7420174,200.5104169,38.28210462
2021-05-30,170.63,188.5,163.7,188.05,NaN,NaN,NaN,NaN,163.7,188.5,163.7,188.5,263.4948464,225.8911402,196.8503336,42.27691992
2021-05-31,188.05,193.28,175.98,182.98,NaN,NaN,NaN,NaN,175.98,193.28,175.98,193.28,255.7425505,222.0041227,192.1222668,41.43199995
2021-06-01,183,191.27,178.37,187.27,NaN,NaN,NaN,NaN,178.37,191.27,178.37,191.27,250.004662,217.0298574,187.3458135,42.47953518
2021-06-02,187.19,197.67,182.03,193.58,NaN,NaN,NaN,NaN,182.03,197.67,182.03,197.67,245.537765,211.5523752,185.0966508,44.06426185
2021-06-03,193.55,193.8,169.18,178.63,NaN,NaN,NaN,NaN,169.18,193.8,169.18,193.8,241.6344754,206.1383283,185.0033206,41.17017718
2021-06-04,178.62,185.49,167.67,173.07,NaN,NaN,NaN,NaN,169.18,193.8,169.18,193.8,237.0633619,202.3835372,184.9666565,40.11494218
2021-06-05,173.01,180.06,171.82,176.38,NaN,NaN,NaN,NaN,169.18,193.8,169.18,193.8,232.1515648,200.1643451,185.9433252,41.08309576
2021-06-06,176.38,182.25,160.25,161.98,NaN,NaN,NaN,NaN,160.25,182.25,160.25,182.25,227.2352906,198.246302,185.0526602,38.19042222
2021-06-07,161.98,164.58,145,160.76,NaN,NaN,NaN,NaN,145,164.58,145,164.58,223.3018067,197.1967642,183.3581281,37.94664581
2021-06-08,160.73,173.33,152.46,172.57,NaN,NaN,NaN,NaN,152.46,173.33,152.46,173.33,220.3270523,195.2334187,181.8745025,41.81831516
2021-06-09,172.69,174.69,162.21,168.38,NaN,NaN,NaN,NaN,162.21,174.69,162.21,174.69,217.5957406,192.9017413,179.749602,40.84463389
2021-06-10,168.46,173.76,160.58,162.9,NaN,NaN,NaN,NaN,160.58,173.76,160.58,173.76,215.4614529,190.7815237,174.7576816,39.54768585
2021-06-11,162.88,164.36,154.23,161.85,NaN,NaN,NaN,NaN,160.58,173.76,160.58,173.76,212.8482642,188.3400832,172.3851453,39.2902519
2021-06-12,161.86,171.73,156.54,171.02,NaN,NaN,NaN,NaN,160.58,173.76,160.58,173.76,210.0583977,184.1463228,171.5981162,42.7926179
2021-06-13,170.92,180.18,166.33,180.02,NaN,NaN,NaN,NaN,166.33,180.18,166.33,180.18,207.4339056,181.4899075,170.712493,46.08043274
2021-06-14,179.98,181.26,172.18,175.15,NaN,NaN,NaN,NaN,172.18,181.26,172.18,181.26,204.6505282,179.859919,168.4289944,44.58716969
2021-06-15,175.2,177.34,164.39,166.61,NaN,NaN,NaN,NaN,164.39,177.34,164.39,177.34,200.815103,178.2736792,167.5701955,42.01590334
2021-06-16,166.58,173.4,162.88,167.18,NaN,NaN,NaN,NaN,162.88,173.4,162.88,173.4,197.898172,175.9013443,168.7071564,42.25526315
2021-06-17,167.18,167.39,151.11,156.41,NaN,NaN,NaN,NaN,151.11,167.39,151.11,167.39,195.632928,174.4305512,170.3097251,38.98094945
2021-06-18,156.44,160.88,152.36,152.53,NaN,NaN,NaN,NaN,151.11,167.39,151.11,167.39,193.443472,174.2836073,170.4207801,37.84324731
2021-06-19,152.58,156.2,143.81,154.87,NaN,NaN,NaN,NaN,151.11,167.39,151.11,167.39,190.8166664,174.5881564,169.9646241,38.99956694
2021-06-20,154.88,155.45,124.02,124.45,NaN,NaN,NaN,NaN,124.02,155.45,124.02,155.45,188.7642306,174.1227619,167.8216993,30.94108622
2021-06-21,124.4,133.02,105,119.83,NaN,NaN,NaN,NaN,105,133.02,105,133.02,187.5712128,173.3749166,165.5813594,29.92959599
2021-06-22,119.78,133.76,115.55,129.2,NaN,NaN,NaN,NaN,115.55,133.76,115.55,133.76,186.7365042,171.609302,162.4660875,34.59931482
2021-06-23,129.22,137.4,123.77,134.53,NaN,NaN,NaN,NaN,123.77,137.4,123.77,137.4,185.5156192,169.7356393,157.91987,37.16458378
2021-06-24,134.54,138.45,124.34,125,NaN,NaN,NaN,NaN,124.34,138.45,124.34,138.45,184.1790331,167.2693094,150.137896,34.55477296
2021-06-25,124.97,129.37,118.71,126.81,NaN,NaN,NaN,NaN,124.34,138.45,124.34,138.45,182.2614152,163.8275207,145.0413168,35.48146327
2021-06-26,126.76,132.7,124.61,132.67,NaN,NaN,NaN,NaN,124.34,138.45,124.34,138.45,180.2889986,158.2253306,142.1500535,38.51686629
